Date,camping0,camping1,camping2,camping3,camping4,camping5,camping6,camping7,camping8,entrance0,entrance1,entrance2,entrance3,entrance4,gate0,gate1,gate2,gate3,gate4,gate5,gate6,gate7,gate8,general-gate0,general-gate1,general-gate2,general-gate3,general-gate4,general-gate5,general-gate6,general-gate7,ranger-base,ranger-stop0,ranger-stop1,ranger-stop2,ranger-stop3,ranger-stop4,ranger-stop5,ranger-stop6,ranger-stop7
2015-05-24,2,2,2,7,6,2,5,7,5,14,17,17,14,16,0,0,0,2,2,2,0,0,6,2,38,38,2,21,25,7,27,6,40,0,40,2,4,2,2,0
2015-05-25,2,0,4,3,2,7,1,2,7,18,17,19,17,13,1,1,4,8,4,7,7,6,8,0,33,33,2,25,21,2,37,8,36,4,35,8,4,4,9,6
2015-05-26,1,2,3,6,3,7,6,3,2,17,13,13,14,12,1,1,4,0,2,5,7,2,6,2,21,21,1,13,10,3,23,6,21,4,22,0,0,2,7,2
2015-05-27,1,0,7,3,4,3,5,3,6,13,9,17,9,20,0,0,0,2,4,7,5,2,6,0,25,25,1,16,17,3,21,6,26,0,25,2,0,4,7,2
2015-05-28,1,0,3,3,2,3,7,3,7,17,12,19,21,17,1,1,0,4,6,9,7,0,8,0,33,33,3,16,23,3,28,8,34,0,34,4,8,6,10,0
2015-05-29,4,0,4,2,1,2,7,1,7,9,16,15,19,16,2,2,0,4,2,8,6,2,8,0,33,33,1,19,24,1,25,8,33,0,33,4,2,2,8,2
2015-05-30,2,0,9,3,8,5,2,2,5,15,17,13,15,11,1,1,0,4,4,5,1,0,6,0,24,24,2,25,14,2,37,6,24,0,25,4,0,4,5,0
2015-05-31,2,0,5,2,2,3,4,5,8,18,14,16,21,11,1,1,2,4,2,3,3,2,6,0,30,30,1,18,17,5,30,6,31,2,32,4,4,2,4,2
2015-06-01,2,0,6,14,5,9,12,11,8,22,24,20,30,31,0,0,2,4,2,4,4,4,4,0,54,54,2,40,44,11,60,4,55,2,55,4,2,2,5,4
2015-06-02,7,2,9,9,8,13,16,5,15,22,25,31,26,27,0,0,0,8,8,8,2,0,8,1,53,53,4,39,31,5,52,8,53,0,53,8,0,8,8,0
2015-06-03,7,2,7,11,13,14,8,5,16,29,31,22,40,31,0,0,0,2,2,0,0,0,4,2,56,56,4,45,36,5,71,4,57,0,57,2,2,2,0,0
2015-06-04,8,2,14,11,14,8,9,20,16,26,38,29,44,26,0,0,0,4,2,6,4,2,6,2,69,69,1,43,41,20,64,6,69,0,69,4,2,2,6,2
2015-06-05,10,2,6,12,12,23,19,12,17,42,28,36,41,33,0,0,6,6,6,6,6,6,6,1,64,64,5,53,44,12,84,6,67,6,67,6,6,6,9,6
2015-06-06,6,3,17,19,12,17,16,13,18,22,27,41,45,43,0,0,0,6,6,6,0,0,6,2,80,80,5,54,49,13,76,6,80,0,80,6,0,6,6,0
2015-06-07,7,0,15,11,17,32,7,15,11,33,33,29,43,34,0,0,0,4,4,8,4,2,8,0,66,66,2,54,38,15,87,8,66,0,66,4,0,4,8,2
2015-06-08,11,2,8,15,18,12,15,10,9,39,35,32,48,26,1,1,4,0,0,3,3,0,4,1,60,60,2,50,35,10,82,4,60,4,61,0,0,0,3,0
2015-06-09,6,0,9,11,13,16,17,10,7,28,24,36,35,30,0,0,2,2,2,2,1,0,1,0,62,63,2,42,36,10,66,1,63,2,62,2,2,2,2,0
2015-06-10,4,3,13,18,15,14,19,8,15,30,34,36,40,37,0,0,4,6,2,6,7,6,9,1,79,78,2,64,48,8,86,9,80,4,81,6,2,2,8,6
2015-06-11,6,1,16,12,18,11,8,9,18,35,19,28,39,29,0,0,2,2,2,2,2,2,2,1,68,68,3,47,35,9,71,2,69,2,69,2,2,2,3,2
2015-06-12,9,1,18,18,16,14,17,7,21,42,27,31,45,39,0,0,2,4,2,4,4,4,6,1,77,77,4,62,48,7,85,6,79,2,79,4,4,2,5,4
2015-06-13,5,4,14,18,18,22,21,16,19,31,35,35,40,41,1,1,0,2,2,1,1,0,2,1,76,76,7,57,51,16,83,2,76,0,76,2,0,2,1,0
2015-06-14,6,2,12,17,16,17,17,20,22,33,25,40,39,32,0,0,0,4,2,6,4,2,6,2,81,81,5,61,53,20,83,6,81,0,81,4,0,2,6,2
2015-06-15,7,0,15,18,18,12,14,12,23,35,29,35,47,38,1,1,4,4,4,7,5,2,8,0,82,82,5,54,54,12,80,8,84,4,83,4,2,4,8,2
2015-06-16,5,2,16,12,16,19,17,14,18,27,30,47,60,34,0,0,2,6,2,7,7,4,8,1,90,90,6,55,53,14,88,8,92,2,91,6,6,2,8,4
2015-06-17,10,0,14,13,14,16,8,16,23,22,35,29,51,30,0,0,0,0,0,0,0,0,2,0,70,72,4,46,43,16,74,2,73,0,72,0,0,0,0,0
2015-06-18,5,0,17,13,15,15,11,14,15,33,34,43,45,26,0,0,0,2,2,2,0,0,2,0,64,64,3,50,36,14,77,2,64,0,64,2,0,2,2,0
2015-06-19,11,2,10,17,20,21,20,6,20,27,36,23,46,39,0,0,0,4,2,4,2,2,6,1,68,68,3,53,53,6,84,6,69,0,69,4,2,2,4,2
2015-06-20,16,0,17,17,19,20,18,11,24,42,30,45,46,46,0,0,2,4,6,8,6,4,5,0,93,93,8,74,57,11,108,5,94,2,94,4,4,6,9,4
2015-06-21,12,6,10,15,24,25,25,10,24,36,44,38,54,32,0,0,0,0,2,2,2,0,9,5,95,97,2,74,58,10,106,9,99,0,97,0,4,2,2,0
2015-06-22,10,2,13,14,20,27,11,17,22,33,33,31,54,37,0,0,0,0,4,4,4,0,4,1,72,72,6,59,42,17,102,4,72,0,72,0,2,4,4,0
2015-06-23,12,9,14,23,12,22,14,8,18,32,33,40,43,39,4,4,0,4,2,5,3,2,8,7,82,82,4,71,51,8,98,8,84,0,83,4,0,2,5,2
2015-06-24,17,2,18,8,17,23,19,14,20,39,40,42,55,41,0,0,2,0,2,2,2,2,2,2,86,86,4,71,48,14,103,2,86,2,86,0,0,2,2,2
2015-06-25,8,4,16,19,16,28,20,15,10,44,21,32,37,42,0,0,2,8,4,8,8,4,5,1,86,86,3,64,66,15,91,5,87,2,87,8,2,4,9,4
2015-06-26,14,0,9,7,17,29,21,14,18,34,35,42,29,35,0,0,2,2,2,2,2,2,3,0,75,75,5,73,50,14,94,3,76,2,76,2,2,2,3,2
2015-06-27,15,0,11,17,24,21,11,7,23,41,32,30,54,38,0,0,0,6,2,6,4,4,8,0,71,73,5,66,45,7,99,8,73,0,71,6,0,2,6,4
2015-06-28,5,10,16,16,15,30,16,8,20,30,29,31,42,39,0,0,2,6,4,4,2,2,8,8,74,74,8,65,49,8,91,8,76,2,76,6,4,4,5,2
2015-06-29,21,0,12,14,24,32,11,20,19,35,31,43,54,37,0,0,0,2,0,2,2,2,2,0,86,86,2,76,51,20,114,2,86,0,86,2,0,0,2,2
2015-06-30,22,0,9,16,16,16,18,10,19,32,30,34,42,40,0,0,2,4,4,4,2,2,4,0,73,73,6,60,47,10,90,4,74,2,74,4,2,4,5,2
2015-07-01,18,5,19,24,25,28,18,25,17,53,39,55,49,45,0,0,2,0,0,2,2,0,4,3,106,106,1,94,60,25,128,4,107,4,107,0,2,0,2,0
2015-07-02,15,2,17,11,18,24,14,15,32,43,37,42,50,50,0,0,2,2,0,4,4,2,4,0,97,97,5,75,61,15,108,4,97,4,97,2,0,0,5,2
2015-07-03,28,2,28,38,23,39,29,12,36,53,52,66,66,64,0,0,0,4,4,4,0,0,4,1,130,130,10,124,77,12,173,4,130,0,130,4,0,4,4,0
2015-07-04,18,0,37,25,40,44,16,20,33,56,51,59,61,64,0,0,4,4,4,4,4,4,4,0,139,139,7,130,80,20,177,4,141,4,141,4,4,4,6,4
2015-07-05,19,7,29,29,36,47,40,11,43,61,49,66,79,64,0,0,0,2,0,4,4,0,6,5,152,152,8,114,87,11,168,6,153,0,153,2,4,0,4,0
2015-07-06,12,1,18,26,28,33,20,20,12,42,35,51,58,50,1,1,2,0,0,1,1,0,2,0,109,109,2,83,66,20,126,2,110,2,109,0,0,0,2,0
2015-07-07,14,6,22,25,24,23,27,14,31,43,41,45,57,49,0,0,0,4,0,8,8,4,6,3,112,112,5,85,69,14,121,6,112,0,112,4,2,0,8,4
2015-07-08,15,6,27,18,17,37,24,22,29,37,44,60,54,57,0,0,0,4,4,6,2,2,6,4,114,114,6,84,68,22,121,6,114,0,114,4,0,4,7,2
2015-07-09,13,2,32,13,26,31,17,30,28,33,42,38,76,50,0,0,0,0,0,2,2,2,2,1,103,103,5,78,58,30,126,2,103,0,103,0,0,0,2,2
2015-07-10,13,4,24,26,34,41,27,21,28,59,52,64,73,63,1,1,2,0,0,2,2,2,2,3,125,125,7,97,79,21,143,2,125,14,125,0,0,0,2,2
2015-07-11,13,0,26,30,38,38,26,31,48,46,64,82,79,59,0,0,2,8,4,6,4,4,7,0,160,159,10,121,90,31,166,7,160,2,161,8,2,4,7,4
2015-07-12,12,2,33,20,22,37,34,32,24,54,46,69,58,55,0,0,0,0,0,1,1,0,3,1,139,140,4,119,79,32,156,3,140,0,140,0,2,0,2,0
2015-07-13,14,4,14,18,34,32,17,12,32,48,42,46,71,52,0,0,0,2,2,2,0,0,4,1,116,116,4,87,62,12,133,4,117,0,117,2,2,2,2,0
2015-07-14,14,4,10,17,21,22,23,16,22,41,43,52,59,44,0,0,0,4,0,4,4,2,2,3,100,100,3,70,59,16,100,2,100,0,100,4,0,0,4,2
2015-07-15,14,4,17,5,17,13,22,10,19,28,35,43,41,30,0,0,0,2,2,2,0,0,2,4,76,76,4,62,41,10,84,2,76,0,76,2,0,2,2,0
2015-07-16,4,2,19,22,17,27,9,14,36,38,36,42,60,42,0,0,2,0,0,4,4,0,4,2,97,97,7,74,52,14,110,4,97,2,97,0,2,0,4,0
2015-07-17,17,6,33,27,33,39,40,27,36,63,53,63,69,53,0,0,0,6,2,6,2,2,6,4,138,139,7,111,93,27,151,6,139,0,138,6,0,2,6,2
2015-07-18,21,0,27,14,28,42,24,22,28,53,42,45,63,60,0,0,0,2,4,2,0,0,4,0,119,120,7,108,77,22,146,4,120,0,119,2,0,4,2,0
2015-07-19,20,0,24,21,29,26,21,21,35,52,35,63,73,48,2,2,0,4,2,6,4,2,6,0,124,122,6,94,68,21,137,6,126,0,124,4,0,2,6,2
2015-07-20,16,5,25,18,27,25,10,14,31,40,47,47,58,53,0,0,0,4,0,3,3,4,4,4,104,105,7,82,63,18,117,4,105,0,104,4,0,0,3,4
2015-07-21,7,2,19,16,26,31,16,13,29,48,35,39,61,45,0,0,2,4,6,4,4,2,6,2,89,90,5,77,50,13,119,6,92,2,92,4,4,6,5,2
2015-07-22,21,2,15,14,24,33,14,17,26,43,43,42,47,44,2,2,2,4,2,4,4,2,4,1,82,82,8,79,51,17,120,4,83,2,83,4,2,2,5,2
2015-07-23,25,6,17,18,27,28,21,22,31,45,52,64,57,49,0,0,0,2,0,4,4,0,4,4,123,123,5,111,63,22,148,4,123,0,123,2,2,0,4,0
2015-07-24,16,7,23,29,34,41,34,23,30,73,46,61,82,57,0,0,0,4,2,4,2,2,6,1,130,130,10,116,90,23,169,6,131,0,131,4,2,2,4,2
2015-07-25,13,2,19,12,28,39,26,18,30,42,39,70,67,43,0,0,2,2,2,2,2,2,4,1,124,124,4,91,59,18,129,4,125,2,125,2,2,2,3,2
2015-07-26,11,4,17,29,42,27,22,29,38,47,50,59,59,55,1,1,4,4,4,8,8,4,8,2,135,135,9,109,78,29,145,8,136,4,136,4,2,4,10,4
2015-07-27,18,0,17,18,16,28,11,19,42,33,33,49,67,47,0,0,2,4,6,6,2,0,6,0,98,98,11,73,61,19,114,6,98,2,98,4,0,6,6,0
2015-07-28,7,6,17,17,19,29,20,14,22,38,39,49,45,47,0,0,0,2,0,2,2,2,2,5,94,94,3,76,49,14,101,2,94,0,94,2,0,0,2,2
2015-07-29,14,1,15,16,20,24,18,21,22,39,36,41,65,58,0,0,0,0,2,4,4,2,8,1,93,98,2,76,71,21,108,8,99,0,95,0,2,2,5,2
2015-07-30,13,2,31,23,19,28,14,18,30,65,43,43,61,56,0,0,0,2,2,2,0,0,2,2,106,107,6,94,64,18,132,2,106,0,106,2,0,2,2,0
2015-07-31,20,2,26,25,35,41,35,29,25,54,67,66,87,49,0,0,0,2,2,3,1,2,6,1,142,142,8,112,86,29,170,6,144,0,143,2,4,2,3,2
2015-08-01,15,0,26,15,31,31,25,11,31,42,44,44,67,57,0,0,0,4,4,4,0,0,4,0,112,111,10,84,70,11,124,4,112,0,112,4,0,4,4,0
2015-08-02,14,0,18,30,32,27,13,32,33,44,49,58,81,45,0,0,0,2,2,2,0,0,2,0,102,103,8,77,49,32,124,2,101,0,102,2,0,2,2,0
2015-08-03,15,2,18,18,25,22,11,20,21,39,44,49,50,48,0,0,0,2,0,2,2,2,2,2,97,97,5,80,58,20,110,2,98,0,97,2,0,0,2,2
2015-08-04,13,2,15,22,14,25,21,14,21,43,33,38,52,47,2,2,0,4,0,3,3,0,6,2,94,96,3,76,59,14,100,6,98,0,95,4,2,0,3,0
2015-08-05,3,0,9,4,11,24,20,11,20,30,33,35,51,41,0,0,0,0,0,0,0,0,2,0,83,83,2,54,52,11,78,2,84,0,84,0,2,0,0,0
2015-08-06,7,6,12,19,10,13,18,19,23,35,33,37,43,41,0,0,0,4,4,6,4,2,8,4,82,83,5,54,49,19,81,8,85,0,83,4,4,4,6,2
2015-08-07,12,2,13,26,26,21,20,28,34,57,41,44,80,52,1,1,2,2,0,1,1,0,2,1,122,123,2,76,71,28,117,2,124,2,124,2,0,0,1,0
2015-08-08,11,6,21,22,19,29,13,20,25,45,34,48,56,44,0,0,2,4,4,4,2,2,4,3,95,95,8,78,58,20,114,4,96,2,96,4,2,4,5,2
2015-08-09,14,3,20,19,27,33,28,17,23,48,40,56,55,42,0,0,0,4,0,6,6,2,6,2,112,112,1,95,61,17,136,6,112,0,112,4,2,0,6,2
2015-08-10,3,4,20,25,28,22,14,14,28,41,33,40,52,43,0,0,2,2,4,6,6,2,8,2,95,95,5,83,59,14,113,8,96,2,96,2,4,4,8,2
2015-08-11,6,2,9,20,21,19,22,18,26,42,36,51,60,44,0,0,4,6,6,6,6,4,8,1,95,99,5,70,61,18,107,8,101,4,99,6,4,6,8,4
2015-08-12,9,0,15,19,21,13,19,13,19,30,31,37,47,39,0,0,2,4,4,4,2,2,4,0,96,96,4,71,58,13,92,4,97,2,97,4,2,4,5,2
2015-08-13,8,2,8,12,22,13,14,7,15,22,25,28,43,34,0,0,2,2,2,2,2,2,2,1,62,62,7,45,44,7,74,2,63,2,63,2,2,2,3,2
2015-08-14,15,0,12,12,28,17,22,18,29,44,40,40,58,45,0,0,0,2,2,4,2,2,4,0,94,94,4,72,60,18,100,4,94,0,94,2,0,2,4,2
2015-08-15,10,2,29,10,19,21,22,9,28,40,37,47,66,45,0,0,0,4,2,4,2,2,4,2,95,95,8,66,56,9,100,4,95,0,95,4,0,2,4,2
2015-08-16,13,6,28,16,12,26,21,18,19,40,28,46,58,43,0,0,0,4,2,4,4,2,8,4,99,99,2,74,55,18,107,8,101,0,101,4,4,2,4,2
2015-08-17,8,4,12,19,21,9,5,11,16,31,30,43,55,33,1,1,2,6,4,5,3,2,6,3,79,81,7,55,40,11,87,6,82,2,80,6,2,4,6,2
2015-08-18,9,4,19,15,22,26,19,10,14,53,38,41,54,41,0,0,0,2,2,2,0,0,2,4,90,91,4,64,52,10,100,2,91,0,91,2,0,2,2,0
2015-08-19,7,0,12,14,23,23,13,21,18,34,41,38,56,36,0,0,0,2,2,4,2,0,4,0,84,83,5,67,52,21,101,4,83,0,83,2,2,2,4,0
2015-08-20,11,2,6,16,14,32,11,10,15,37,24,35,47,30,0,0,0,6,2,6,4,2,4,2,73,73,4,59,42,10,90,4,73,0,73,6,0,2,6,2
2015-08-21,3,0,13,18,23,23,23,13,30,38,38,47,58,46,1,1,4,0,0,4,4,0,8,0,98,98,6,64,63,13,100,8,100,6,100,0,4,0,5,0
2015-08-22,12,5,13,16,25,24,15,12,23,34,30,45,57,44,0,0,2,6,2,6,6,6,6,3,90,90,7,62,57,12,102,6,91,2,91,6,2,2,7,6
2015-08-23,15,2,20,30,24,20,15,15,14,35,46,50,60,48,0,0,0,0,0,2,2,0,2,2,98,98,2,83,50,15,118,2,98,0,98,0,0,0,2,0
2015-08-24,16,1,18,27,13,27,16,21,25,47,39,29,55,44,2,2,0,2,2,4,2,0,4,1,91,91,4,79,59,21,115,4,91,0,91,2,0,2,4,0
2015-08-25,8,2,14,23,28,26,14,11,19,34,35,40,43,42,0,0,4,2,2,4,4,2,6,1,85,87,4,75,54,11,111,6,88,4,90,2,2,2,5,2
2015-08-26,12,2,20,23,17,23,13,16,30,38,32,39,63,53,0,0,2,8,4,10,8,4,8,0,91,91,9,72,66,16,111,8,91,4,91,8,0,4,10,4
2015-08-27,9,1,14,21,24,22,17,13,23,35,36,47,40,34,0,0,0,2,2,2,0,0,4,0,84,84,4,74,41,13,102,4,85,0,85,2,2,2,2,0
2015-08-28,12,1,14,14,18,37,15,16,16,41,44,38,52,40,0,0,0,0,2,3,5,0,4,1,92,92,3,83,56,16,122,4,92,0,93,0,4,2,6,0
2015-08-29,5,4,16,22,18,23,18,20,28,28,36,49,50,36,1,1,2,0,0,3,3,0,2,1,85,85,5,64,43,20,98,2,85,2,85,0,0,0,3,0
2015-08-30,12,1,16,21,26,30,34,14,21,49,43,46,50,34,0,0,0,4,2,4,2,2,8,0,107,109,4,84,66,14,114,8,110,0,108,4,2,2,4,2
2015-08-31,12,3,15,16,12,19,14,13,18,36,45,47,53,32,0,0,2,6,2,4,4,4,6,1,84,84,4,65,48,13,99,6,85,2,85,6,2,2,5,4
2015-09-01,13,0,14,7,21,19,17,16,26,29,25,33,66,34,0,0,0,6,2,6,4,2,4,0,85,85,4,57,55,16,89,4,85,0,85,6,0,2,6,2
2015-09-02,4,0,11,17,15,9,6,9,17,28,39,26,32,21,0,0,4,4,2,6,6,4,6,0,59,59,2,53,31,9,71,6,60,4,60,4,2,2,7,4
2015-09-03,10,0,9,14,16,12,20,8,17,34,26,28,43,29,0,0,0,4,2,4,2,2,4,0,64,64,2,50,40,8,71,4,64,0,64,4,0,2,4,2
2015-09-04,6,0,14,21,16,16,17,21,13,37,33,44,50,40,1,1,4,2,2,4,4,2,4,0,90,88,6,58,56,21,91,4,91,4,92,2,4,2,5,2
2015-09-05,12,6,18,13,21,15,7,14,24,38,31,36,34,44,2,2,2,4,2,4,2,0,6,3,78,76,4,72,50,14,97,6,77,2,79,4,2,2,4,0
2015-09-06,9,0,11,8,11,13,14,12,20,24,22,38,41,31,0,0,2,6,4,4,2,2,6,0,71,73,6,46,47,12,66,6,74,2,74,6,2,4,5,2
2015-09-07,5,0,12,7,8,14,15,14,11,18,28,31,33,29,0,0,2,6,4,10,6,2,8,0,60,60,4,44,41,14,67,8,61,2,61,6,4,4,12,2
2015-09-08,9,4,8,8,8,24,8,10,10,34,24,27,29,31,0,0,0,2,2,2,0,0,2,2,52,51,5,47,35,10,65,2,52,0,52,2,0,2,2,0
2015-09-09,1,2,9,14,7,22,11,11,13,30,30,32,36,37,0,0,2,4,4,6,4,2,5,1,73,73,2,51,49,11,73,5,72,2,74,4,2,4,7,2
2015-09-10,5,2,14,13,13,24,13,5,9,30,20,21,42,27,0,0,0,2,2,2,0,0,5,2,55,56,1,46,35,5,76,5,57,0,55,2,0,2,2,0
2015-09-11,11,2,9,7,23,24,18,7,19,39,30,33,42,31,0,0,2,2,2,2,2,2,1,1,75,75,3,65,36,7,92,1,76,2,76,2,2,2,3,2
2015-09-12,9,2,12,21,19,21,13,19,17,36,33,36,46,30,0,0,0,2,0,2,2,2,5,1,72,72,3,59,48,19,88,5,73,0,73,2,2,0,2,2
2015-09-13,11,6,8,12,13,22,11,18,17,32,34,36,42,37,2,2,0,4,4,6,4,2,8,5,66,66,6,59,40,18,82,8,67,0,67,4,2,6,6,2
2015-09-14,9,0,10,9,15,21,8,14,13,27,23,25,43,29,0,0,2,2,2,2,2,0,4,0,66,68,1,47,42,14,75,4,68,2,66,2,0,2,2,0
2015-09-15,7,2,17,7,12,18,8,8,17,27,24,39,46,35,0,0,0,2,2,6,6,2,6,2,77,77,2,51,42,8,78,6,77,0,77,2,0,2,6,2
2015-09-16,3,0,13,12,13,11,3,4,12,25,35,26,31,32,0,0,0,2,2,2,0,0,4,0,59,59,4,54,37,4,74,4,60,0,60,2,2,2,2,0
2015-09-17,6,8,8,7,16,17,5,12,15,30,32,22,38,34,0,0,2,2,2,2,2,2,2,6,74,75,1,60,47,12,77,2,76,2,76,2,2,2,3,2
2015-09-18,6,2,16,14,15,12,7,18,10,21,28,25,43,33,0,0,0,4,0,10,10,6,8,2,56,55,2,47,40,18,76,8,55,0,55,4,2,0,10,6
2015-09-19,6,6,11,22,13,23,6,17,12,45,32,36,41,37,0,0,0,2,2,2,0,0,4,6,77,79,2,66,41,17,92,4,79,0,77,2,0,2,2,0
2015-09-20,10,0,18,20,17,13,15,15,10,33,34,42,54,27,0,0,4,6,4,6,6,6,8,0,81,83,5,65,52,15,98,8,85,4,85,6,4,4,8,6
2015-09-21,7,1,9,7,14,11,11,9,11,25,29,30,31,29,0,0,0,0,0,0,0,0,2,1,63,63,1,48,36,9,61,2,64,0,64,0,2,0,0,0
2015-09-22,6,2,22,11,9,15,3,8,8,21,29,24,35,20,0,0,0,2,0,2,2,0,6,2,59,59,0,51,30,8,77,6,60,0,60,2,2,0,2,0
2015-09-23,5,0,7,12,19,12,4,12,11,28,26,33,39,31,0,0,2,0,0,2,2,0,2,0,69,69,1,46,36,12,68,2,69,2,69,0,2,0,2,0
2015-09-24,4,0,12,9,6,13,13,6,11,35,26,34,31,23,0,0,0,0,2,4,4,0,2,0,69,69,1,44,32,6,59,2,69,0,69,0,0,2,4,0
2015-09-25,7,2,16,14,19,21,13,9,13,42,29,40,38,36,0,0,2,4,2,4,4,4,4,0,72,72,3,73,44,9,98,4,73,2,73,4,2,2,5,4
2015-09-26,10,3,12,12,16,20,13,12,12,25,31,31,37,33,0,0,0,0,0,2,2,0,2,3,66,66,1,57,32,12,87,2,66,0,66,0,2,0,2,0
2015-09-27,9,0,13,13,17,17,10,10,14,31,24,21,36,32,0,0,4,2,0,6,6,2,6,0,57,57,2,59,38,10,90,6,58,4,58,2,2,0,6,2
2015-09-28,6,0,13,18,10,20,13,6,10,30,17,31,36,31,0,0,2,8,6,8,4,4,8,0,58,58,6,52,38,6,79,8,59,2,59,8,2,6,9,4
2015-09-29,7,2,15,12,9,12,21,12,10,23,37,25,36,30,0,0,0,0,2,0,0,0,2,1,66,68,1,48,44,12,68,2,70,0,66,0,0,2,0,0
2015-09-30,6,0,10,7,15,12,23,8,10,27,21,32,38,28,0,0,0,6,6,10,2,2,8,0,66,66,3,44,43,8,63,8,66,0,66,6,0,6,10,2
2015-10-01,3,0,8,11,8,5,6,4,4,11,14,18,31,15,0,0,0,6,4,8,4,0,6,0,35,35,2,27,23,4,45,6,35,0,35,6,0,4,8,0
2015-10-02,3,0,8,5,11,6,1,2,4,7,16,11,16,16,0,0,0,0,0,2,0,0,2,0,24,26,1,18,17,2,30,2,26,0,24,0,0,0,2,0
